623;691.99;752
614;672.86;748
591;661.98;745
597;651.48;715
597;639.54;696
568;636.17;681
578;627.19;682
579;622.55;682
575;610.9;666
565;594.64;638
562;593.08;644
554;583.75;624
552;578.63;633
550;574.53;610
548;568.95;614
547;567.31;610
543;567.55;617
539;560.16;616
533;558.67;612
531;556.34;604
525;552.94;609
526;548.28;591
523;543.45;586
525;539.5;582
522;541.95;591
518;540.01;607
508;533.33;593
505;530.81;588
505;529.08;576
502;522.33;565
494;523.06;592
493;517.68;590
491;512.97;574
489;513.03;559
488;507.14;563
487;504.64;559
483;500.08;555
483;495.49;534
478;501.92;564
475;497.95;555
477;494.27;542
479;496.1;549
475;497.1;550
474;494.59;584
474;487.93;543
469;489.74;544
466;492.98;554
467;486.57;552
467;485.63;538
463;479.79;535
462;478.27;532
462;483.69;539
464;485.59;544
461;480.05;543
461;477.89;541
460;478.02;567
457;476.38;532
456;473.94;537
453;471.36;530
453;471.93;531
453;467.73;539
450;474.7;540
448;468.22;524
449;472.1;546
448;461.59;522
448;470.84;521
447;462.76;534
443;460.36;513
443;459.95;517
442;460.29;541
440;462.17;554
437;466.29;570
435;463.48;537
432;452.58;508
432;452.97;508
433;455.6;519
432;455.69;517
432;446.64;505
431;454.48;506
430;449.61;501
429;445.46;528
427;447.73;509
425;444.54;521
425;443.52;534
423;439.69;508
423;440.23;524
419;434.37;500
416;436.46;520
417;441.64;507
413;436.13;530
414;440.88;543
411;428.55;499
410;428.34;492
408;429.41;495
407;428.64;524
407;424.27;500
406;428.05;521
405;424.25;493
403;424.49;484
403;423.18;508
399;424.4;485
399;417.26;515
401;420.51;494
399;409.88;504
396;422.0;493
394;411.6;492
392;414.21;487
391;412.0;474
391;416.23;522
389;408.66;490
386;409.72;477
386;403.42;479
385;409.07;484
385;414.18;508
385;401.88;474
386;400.33;477
384;407.1;485
381;414.04;502
381;407.31;498
378;397.07;503
378;400.73;470
379;403.36;511
378;398.42;485
377;400.4;490
376;404.61;493
374;395.67;479
373;395.06;483
373;391.31;485
371;387.83;474
371;387.84;477
371;387.95;471
368;386.28;458
365;386.77;466
366;391.34;465
367;381.82;467
366;382.01;468
364;385.45;464
363;382.86;460
363;381.76;465
360;379.24;467
358;381.71;477
355;378.1;455
355;374.24;446
355;368.09;472
354;372.31;438
352;372.4;463
351;370.91;451
350;373.16;456
349;359.03;431
349;370.13;446
347;364.08;428
347;368.05;447
345;364.26;459
345;370.4;448
344;365.59;455
344;368.49;447
343;366.27;434
